mention_id,player,artist,song,release_date,mention_type,artist_tier,player_position,era,drop_type,effective_date,vader_compound,vader_pos,vader_neg,before_PTS_mean,before_AST_mean,before_REB_mean,before_PTS_std,before_AST_std,before_REB_std,before_n_games,after_1g_PTS_mean,after_1g_AST_mean,after_1g_REB_mean,after_1g_PTS_std,after_1g_AST_std,after_1g_REB_std,after_1g_n_games,after_10g_PTS_mean,after_10g_AST_mean,after_10g_REB_mean,after_10g_PTS_std,after_10g_AST_std,after_10g_REB_std,after_10g_n_games,after_30g_PTS_mean,after_30g_AST_mean,after_30g_REB_mean,after_30g_PTS_std,after_30g_AST_std,after_30g_REB_std,after_30g_n_games,after_season_PTS_mean,after_season_AST_mean,after_season_REB_mean,after_season_PTS_std,after_season_AST_std,after_season_REB_std,after_season_n_games,before_PTS_pace_adj,before_AST_pace_adj,before_REB_pace_adj,after_1g_PTS_pace_adj,after_1g_AST_pace_adj,after_1g_REB_pace_adj,after_10g_PTS_pace_adj,after_10g_AST_pace_adj,after_10g_REB_pace_adj,after_30g_PTS_pace_adj,after_30g_AST_pace_adj,after_30g_REB_pace_adj,after_season_PTS_pace_adj,after_season_AST_pace_adj,after_season_REB_pace_adj,delta_after_1g_PTS,delta_after_1g_PTS_adj,delta_after_1g_AST,delta_after_1g_AST_adj,delta_after_1g_REB,delta_after_1g_REB_adj,delta_after_10g_PTS,delta_after_10g_PTS_adj,delta_after_10g_AST,delta_after_10g_AST_adj,delta_after_10g_REB,delta_after_10g_REB_adj,delta_after_30g_PTS,delta_after_30g_PTS_adj,delta_after_30g_AST,delta_after_30g_AST_adj,delta_after_30g_REB,delta_after_30g_REB_adj,delta_after_season_PTS,delta_after_season_PTS_adj,delta_after_season_AST,delta_after_season_AST_adj,delta_after_season_REB,delta_after_season_REB_adj,zscore_after_30g_PTS,zscore_after_30g_AST,zscore_after_30g_REB,composite_delta_30g,weighted_impact
12,Chris Paul,Drake,Miss Me,2010-06-15,compliment,2.8,PG,2010s,off_season,2010-10-27,0.4588,0.4,0.0,17.47,10.6,4.43,7.78,3.52,2.49,30,17.0,16.0,4.0,,,,1,17.8,10.2,4.8,5.09,4.54,2.53,10,16.27,9.77,4.4,5.06,3.84,2.21,30,17.35,9.54,3.82,7.15,3.27,1.96,210,17.47,10.6,4.43,17.0,16.0,4.0,17.8,10.2,4.8,16.27,9.77,4.4,17.35,9.54,3.82,-0.47,-0.47,5.4,5.4,-0.43,-0.43,0.33,0.33,-0.4,-0.4,0.37,0.37,-1.2,-1.2,-0.83,-0.83,-0.03,-0.03,-0.12,-0.12,-1.06,-1.06,-0.61,-0.61,-0.549,-0.709,-0.46,-0.738,-2.066
13,Kevin Garnett,Jay-Z,Kingdom Come,2006-11-21,compliment,3.0,PF,2000s,in_season,2006-11-21,0.6369,0.344,0.0,22.3,3.27,13.87,5.53,1.82,3.57,30,19.0,4.0,9.0,,,,1,21.5,4.0,12.0,4.72,1.89,2.11,10,22.13,4.53,12.97,5.7,1.76,2.68,30,20.62,3.82,11.03,6.16,2.19,3.96,138,24.07,3.53,14.97,20.51,4.32,9.72,23.21,4.32,12.96,23.89,4.89,14.0,22.26,4.12,11.91,-3.3,-3.56,0.73,0.79,-4.87,-5.25,-0.8,-0.86,0.73,0.79,-1.87,-2.01,-0.17,-0.18,1.26,1.36,-0.9,-0.97,-1.68,-1.81,0.55,0.59,-2.84,-3.06,0.07,0.897,-1.127,0.045,0.135
14,James Harden,Travis Scott,Goosebumps,2016-09-16,compliment,2.5,SG,2010s,in_season,2016-09-16,0.3612,0.217,0.0,31.27,8.13,5.8,7.66,3.45,2.51,30,34.0,17.0,7.0,,,,1,30.3,12.6,7.8,5.06,3.34,2.2,10,27.77,11.77,7.97,6.43,3.08,2.72,30,31.88,9.19,6.78,9.92,3.44,3.16,231,31.27,8.13,5.8,34.0,17.0,7.0,30.3,12.6,7.8,27.77,11.77,7.97,31.88,9.19,6.78,2.73,2.73,8.87,8.87,1.2,1.2,-0.97,-0.97,4.47,4.47,2.0,2.0,-3.5,-3.5,3.64,3.64,2.17,2.17,0.61,0.61,1.06,1.06,0.98,0.98,-1.148,3.281,1.483,0.343,0.858
15,Stephen Curry,Drake,God's Plan,2018-01-19,compliment,2.8,PG,2010s,in_season,2018-01-19,0.3612,0.263,0.0,27.9,6.53,5.3,7.28,2.4,2.25,30,19.0,8.0,1.0,,,,1,24.4,6.5,4.5,9.94,1.72,1.84,10,27.07,5.67,5.03,10.07,2.55,2.39,30,26.61,5.29,5.24,9.86,2.52,2.16,89,27.9,6.53,5.3,19.0,8.0,1.0,24.4,6.5,4.5,27.07,5.67,5.03,26.61,5.29,5.24,-8.9,-8.9,1.47,1.47,-4.3,-4.3,-3.5,-3.5,-0.03,-0.03,-0.8,-0.8,-0.83,-0.83,-0.86,-0.86,-0.27,-0.27,-1.29,-1.29,-1.24,-1.24,-0.06,-0.06,-0.453,-0.736,-0.672,-0.671,-1.879
16,Kyrie Irving,J. Cole,Apparently,2014-12-09,neutral,2.6,PG,2010s,in_season,2014-12-09,-0.3612,0.0,0.294,19.93,4.87,3.87,9.4,2.21,2.54,30,13.0,10.0,1.0,,,,1,19.7,6.4,2.5,7.82,2.8,1.9,10,22.17,5.4,3.2,10.52,2.43,1.61,30,23.19,5.63,3.65,8.71,2.79,2.19,308,19.93,4.87,3.87,13.0,10.0,1.0,19.7,6.4,2.5,22.17,5.4,3.2,23.19,5.63,3.65,-6.93,-6.93,5.13,5.13,-2.87,-2.87,-0.23,-0.23,1.53,1.53,-1.37,-1.37,2.24,2.24,0.53,0.53,-0.67,-0.67,3.26,3.26,0.76,0.76,-0.22,-0.22,0.347,0.505,-1.025,0.854,2.22
17,Giannis Antetokounmpo,Pusha T,Santeria,2018-05-25,compliment,2.4,PF,2010s,off_season,2018-10-17,-0.3818,0.178,0.398,24.4,4.93,9.63,7.85,2.45,3.45,30,25.0,8.0,18.0,,,,1,25.6,5.7,12.9,5.46,3.23,3.87,10,26.23,5.97,12.77,7.78,2.41,3.77,30,27.69,5.89,12.47,8.22,2.46,3.68,72,24.4,4.93,9.63,25.0,8.0,18.0,25.6,5.7,12.9,26.23,5.97,12.77,27.69,5.89,12.47,0.6,0.6,3.07,3.07,8.37,8.37,1.2,1.2,0.77,0.77,3.27,3.27,1.83,1.83,1.04,1.04,3.14,3.14,3.29,3.29,0.96,0.96,2.84,2.84,0.24,0.96,2.339,1.986,4.766
19,Ja Morant,Young Thug,Ski,2021-10-15,compliment,2.2,PG,2020s,in_season,2021-10-15,0.0,0.0,0.0,19.13,7.3,4.67,9.2,2.6,1.9,30,37.0,6.0,6.0,,,,1,26.0,7.2,5.6,9.38,1.99,2.07,10,24.87,6.7,5.7,9.05,2.18,2.59,30,26.78,7.43,5.78,8.9,2.82,2.59,118,18.4,7.02,4.49,35.6,5.77,5.77,25.01,6.93,5.39,23.93,6.45,5.48,25.76,7.15,5.56,17.87,17.2,-1.3,-1.25,1.33,1.28,6.87,6.61,-0.1,-0.09,0.93,0.9,5.74,5.53,-0.6,-0.57,1.03,0.99,7.65,7.36,0.13,0.13,1.11,1.07,1.335,-0.901,1.085,2.338,5.144
20,Dwight Howard,Lil Wayne,Right Above It,2010-09-17,diss,2.5,C,2010s,in_season,2010-09-17,0.0,0.0,0.0,19.0,2.03,12.9,7.32,1.3,4.65,30,23.0,1.0,10.0,,,,1,21.2,1.5,10.9,5.09,1.43,3.31,10,21.03,1.07,12.87,7.12,1.11,4.1,30,22.87,1.37,14.08,7.29,1.22,3.85,78,19.0,2.03,12.9,23.0,1.0,10.0,21.2,1.5,10.9,21.03,1.07,12.87,22.87,1.37,14.08,4.0,4.0,-1.03,-1.03,-2.9,-2.9,2.2,2.2,-0.53,-0.53,-2.0,-2.0,2.03,2.03,-0.96,-0.96,-0.03,-0.03,3.87,3.87,-0.66,-0.66,1.18,1.18,0.292,-0.825,-0.46,0.515,1.288
21,Russell Westbrook,Meek Mill,Cold Hearted II,2016-10-04,diss,2.1,PG,2010s,in_season,2016-10-04,0.3089,0.22,0.0,22.67,11.27,8.5,6.06,3.43,3.88,30,32.0,9.0,12.0,,,,1,31.9,10.1,9.2,10.33,3.54,3.49,10,31.77,10.77,10.53,8.27,4.0,3.32,30,28.48,10.31,10.36,10.12,3.66,3.62,161,22.67,11.27,8.5,32.0,9.0,12.0,31.9,10.1,9.2,31.77,10.77,10.53,28.48,10.31,10.36,9.33,9.33,-2.27,-2.27,3.5,3.5,9.23,9.23,-1.17,-1.17,0.7,0.7,9.1,9.1,-0.5,-0.5,2.03,2.03,5.81,5.81,-0.96,-0.96,1.86,1.86,2.133,-0.414,1.359,4.099,8.608
22,Carmelo Anthony,Fabolous,Breathe,2004-09-28,compliment,2.1,SF,2000s,in_season,2004-09-28,0.3612,0.217,0.0,24.23,2.9,5.97,7.32,2.23,2.63,30,20.0,4.0,5.0,,,,1,21.4,3.1,6.7,7.63,1.73,2.87,10,20.77,3.2,5.9,7.32,1.83,2.38,30,24.33,3.13,6.62,7.94,1.9,2.99,287,26.16,3.13,6.45,21.59,4.32,5.4,23.1,3.35,7.23,22.42,3.45,6.37,26.27,3.38,7.15,-4.23,-4.57,1.1,1.19,-0.97,-1.05,-2.83,-3.06,0.2,0.22,0.73,0.78,-3.46,-3.74,0.3,0.32,-0.07,-0.08,0.1,0.11,0.23,0.25,0.65,0.7,-0.739,0.064,-0.182,-1.424,-2.99
