mention_id,player,artist,song,release_date,mention_type,artist_tier,player_position,era,drop_type,effective_date,vader_compound,vader_pos,vader_neg,before_PTS_mean,before_AST_mean,before_REB_mean,before_PTS_std,before_AST_std,before_REB_std,before_n_games,after_1g_PTS_mean,after_1g_AST_mean,after_1g_REB_mean,after_1g_PTS_std,after_1g_AST_std,after_1g_REB_std,after_1g_n_games,after_10g_PTS_mean,after_10g_AST_mean,after_10g_REB_mean,after_10g_PTS_std,after_10g_AST_std,after_10g_REB_std,after_10g_n_games,after_30g_PTS_mean,after_30g_AST_mean,after_30g_REB_mean,after_30g_PTS_std,after_30g_AST_std,after_30g_REB_std,after_30g_n_games,after_season_PTS_mean,after_season_AST_mean,after_season_REB_mean,after_season_PTS_std,after_season_AST_std,after_season_REB_std,after_season_n_games,before_PTS_pace_adj,before_AST_pace_adj,before_REB_pace_adj,after_1g_PTS_pace_adj,after_1g_AST_pace_adj,after_1g_REB_pace_adj,after_10g_PTS_pace_adj,after_10g_AST_pace_adj,after_10g_REB_pace_adj,after_30g_PTS_pace_adj,after_30g_AST_pace_adj,after_30g_REB_pace_adj,after_season_PTS_pace_adj,after_season_AST_pace_adj,after_season_REB_pace_adj,delta_after_1g_PTS,delta_after_1g_PTS_adj,delta_after_1g_AST,delta_after_1g_AST_adj,delta_after_1g_REB,delta_after_1g_REB_adj,delta_after_10g_PTS,delta_after_10g_PTS_adj,delta_after_10g_AST,delta_after_10g_AST_adj,delta_after_10g_REB,delta_after_10g_REB_adj,delta_after_30g_PTS,delta_after_30g_PTS_adj,delta_after_30g_AST,delta_after_30g_AST_adj,delta_after_30g_REB,delta_after_30g_REB_adj,delta_after_season_PTS,delta_after_season_PTS_adj,delta_after_season_AST,delta_after_season_AST_adj,delta_after_season_REB,delta_after_season_REB_adj,zscore_after_30g_PTS,zscore_after_30g_AST,zscore_after_30g_REB,composite_delta_30g,weighted_impact
23,Derrick Rose,Chance the Rapper,Paranoia,2013-05-18,compliment,2.0,PG,2010s,off_season,2013-10-29,0.0,0.0,0.0,22.57,7.7,3.27,9.51,3.05,2.2,30,12.0,4.0,1.0,,,,1,15.9,4.3,3.2,3.38,1.49,1.62,10,15.9,4.3,3.2,3.38,1.49,1.62,10,15.9,4.3,3.2,3.38,1.49,1.62,10,22.57,7.7,3.27,12.0,4.0,1.0,15.9,4.3,3.2,15.9,4.3,3.2,15.9,4.3,3.2,-10.57,-10.57,-3.7,-3.7,-2.27,-2.27,-6.67,-6.67,-3.4,-3.4,-0.07,-0.07,-6.67,-6.67,-3.4,-3.4,-0.07,-0.07,-6.67,-6.67,-3.4,-3.4,-0.07,-0.07,-1.973,-3.003,-0.495,-3.709,-7.418
24,Baron Davis,E-40,Tell Me When to Go,2006-03-28,compliment,1.9,PG,2000s,off_season,2006-11-01,0.0,0.0,0.0,18.27,8.23,4.27,8.82,3.09,2.63,30,18.0,6.0,4.0,,,,1,20.7,8.3,3.9,10.71,4.45,2.18,10,21.3,8.57,4.67,8.93,3.76,2.52,30,20.06,8.08,4.38,7.45,3.71,2.59,63,19.72,8.89,4.61,19.43,6.48,4.32,22.35,8.96,4.21,23.0,9.25,5.04,21.66,8.72,4.73,-0.27,-0.29,-2.23,-2.41,-0.27,-0.29,2.43,2.63,0.07,0.07,-0.37,-0.4,3.03,3.28,0.34,0.36,0.4,0.43,1.79,1.94,-0.15,-0.17,0.11,0.12,0.856,0.096,0.359,1.549,2.943
25,Penny Hardaway,Nas,Street Dreams,1996-07-02,compliment,2.7,PG,1990s,off_season,1996-11-01,0.0,0.0,0.0,19.7,7.2,4.0,7.51,3.5,2.56,30,19.0,6.0,3.0,,,,1,17.7,6.1,5.9,6.57,2.08,1.79,10,19.77,5.4,5.0,5.78,2.58,1.97,30,20.51,5.63,4.46,6.76,2.49,2.24,59,20.99,7.67,4.26,20.24,6.39,3.2,18.86,6.5,6.29,21.06,5.75,5.33,21.85,6.0,4.75,-0.7,-0.75,-1.2,-1.28,-1.0,-1.06,-2.0,-2.13,-1.1,-1.17,1.9,2.03,0.07,0.07,-1.8,-1.92,1.0,1.07,0.81,0.86,-1.57,-1.67,0.46,0.49,-0.105,-1.375,0.677,-0.227,-0.613
26,Stephon Marbury,Cam'ron,Dipset Anthem,2002-05-14,compliment,2.2,PG,2000s,off_season,2002-11-01,0.3612,0.333,0.0,22.03,8.0,3.47,6.53,3.22,1.91,30,15.0,10.0,2.0,,,,1,18.1,8.9,2.4,8.5,3.6,2.22,10,19.47,7.9,2.67,8.97,2.95,1.79,30,22.3,8.07,3.25,9.59,2.73,1.87,81,23.78,8.64,3.75,16.19,10.8,2.16,19.54,9.61,2.59,21.02,8.53,2.88,24.07,8.71,3.51,-7.03,-7.59,2.0,2.16,-1.47,-1.59,-3.93,-4.24,0.9,0.97,-1.07,-1.16,-2.56,-2.76,-0.1,-0.11,-0.8,-0.87,0.27,0.29,0.07,0.07,-0.22,-0.24,-0.516,-0.28,-1.021,-1.398,-3.076
27,Tracy McGrady,Lil Wayne,Mr. Carter,2008-06-10,compliment,2.5,SG,2000s,off_season,2008-10-29,0.4404,0.293,0.0,21.83,6.37,5.33,8.67,2.39,2.25,30,16.0,5.0,2.0,,,,1,16.7,4.8,4.8,9.99,1.93,2.49,10,15.53,5.0,4.53,7.77,2.56,2.89,30,15.57,5.0,4.4,7.69,2.4,2.72,35,23.57,6.88,5.75,17.27,5.4,2.16,18.03,5.18,5.18,16.77,5.4,4.89,16.81,5.4,4.75,-5.83,-6.3,-1.37,-1.48,-3.33,-3.59,-5.13,-5.54,-1.57,-1.7,-0.53,-0.57,-6.3,-6.8,-1.37,-1.48,-0.8,-0.86,-6.26,-6.76,-1.37,-1.48,-0.93,-1.0,-1.434,-1.377,-1.01,-3.422,-8.555
28,Paul Pierce,Jay-Z,Encore,2003-11-14,neutral,3.0,SF,2000s,in_season,2003-11-14,0.3818,0.31,0.0,24.17,4.63,7.17,7.07,2.24,2.45,30,19.0,6.0,5.0,,,,1,23.4,5.8,6.9,5.48,2.74,2.33,10,24.43,5.93,7.3,7.2,2.86,2.98,30,22.32,4.64,6.5,7.43,2.58,3.09,154,26.09,5.0,7.74,20.51,6.48,5.4,25.26,6.26,7.45,26.37,6.4,7.88,24.1,5.01,7.02,-5.17,-5.58,1.37,1.48,-2.17,-2.34,-0.77,-0.83,1.17,1.26,-0.27,-0.29,0.26,0.28,1.3,1.4,0.13,0.14,-1.85,-1.99,0.01,0.01,-0.67,-0.72,0.175,0.929,0.051,0.574,1.722
29,Yao Ming,Kanye West,Gone,2005-08-30,neutral,2.9,C,2000s,off_season,2005-11-02,0.0,0.0,0.0,18.3,0.77,8.17,5.8,0.86,3.88,30,22.0,4.0,10.0,,,,1,19.1,1.5,9.2,3.75,1.35,4.13,10,20.17,1.23,9.27,6.02,1.17,3.56,30,22.3,1.49,10.19,7.75,1.26,4.08,57,19.76,0.83,8.82,23.75,4.32,10.8,20.62,1.62,9.93,21.78,1.33,10.01,24.07,1.61,11.0,3.7,3.99,3.23,3.49,1.83,1.98,0.8,0.86,0.73,0.79,1.03,1.11,1.87,2.02,0.46,0.5,1.1,1.19,4.0,4.31,0.72,0.78,2.02,2.18,0.57,0.208,1.166,1.315,3.814
30,Jason Kidd,Jay-Z,Takeover,2001-09-11,compliment,3.0,PG,2000s,off_season,2001-10-30,0.5423,0.333,0.0,18.1,9.63,6.83,10.24,4.15,3.4,30,14.0,9.0,10.0,,,,1,12.1,9.9,7.1,6.38,3.54,2.02,10,13.8,10.33,7.1,6.96,3.73,3.14,30,14.73,9.85,7.26,6.97,3.4,3.22,82,19.54,10.4,7.37,15.11,9.72,10.8,13.06,10.69,7.67,14.9,11.15,7.67,15.9,10.63,7.84,-4.1,-4.43,-0.63,-0.68,3.17,3.43,-6.0,-6.48,0.27,0.29,0.27,0.3,-4.3,-4.64,0.7,0.75,0.27,0.3,-3.37,-3.64,0.22,0.23,0.43,0.47,-0.943,0.409,0.221,-1.541,-4.623
31,Steve Nash,Lil Wayne,A Milli,2008-06-10,compliment,2.5,PG,2000s,off_season,2008-10-29,0.5903,0.377,0.0,16.27,10.03,3.47,7.19,3.36,2.0,30,13.0,13.0,2.0,,,,1,13.7,7.4,2.8,5.64,2.91,1.4,10,14.43,8.73,2.97,5.89,2.95,1.87,30,15.68,9.69,3.01,6.8,3.75,1.9,74,17.57,10.83,3.75,14.03,14.03,2.16,14.79,7.99,3.02,15.58,9.42,3.21,16.93,10.46,3.25,-3.27,-3.54,2.97,3.2,-1.47,-1.59,-2.57,-2.78,-2.63,-2.84,-0.67,-0.73,-1.84,-1.99,-1.3,-1.41,-0.5,-0.54,-0.59,-0.64,-0.34,-0.37,-0.46,-0.5,-0.341,-1.321,-0.67,-1.381,-3.452
32,Dirk Nowitzki,Drake,Successful,2009-02-13,compliment,2.8,PF,2000s,in_season,2009-02-13,0.4404,0.266,0.0,26.27,2.17,7.63,9.18,1.66,2.71,30,23.0,3.0,9.0,,,,1,21.6,3.1,8.4,9.58,1.79,2.5,10,25.77,2.67,8.6,7.16,1.77,3.07,30,25.23,2.68,7.91,7.44,1.85,2.86,111,28.36,2.34,8.24,24.83,3.24,9.72,23.32,3.35,9.07,27.82,2.88,9.28,27.24,2.89,8.54,-3.27,-3.53,0.83,0.9,1.37,1.48,-4.67,-5.04,0.93,1.01,0.77,0.83,-0.5,-0.54,0.5,0.54,0.97,1.04,-1.04,-1.12,0.51,0.55,0.28,0.3,-0.012,0.24,1.007,0.258,0.722
33,Ray Allen,Jay-Z,Blueprint 2,2002-11-12,compliment,3.0,SG,2000s,in_season,2002-11-12,0.1139,0.138,0.0,20.67,3.3,4.5,7.5,1.95,2.86,30,19.0,1.0,2.0,,,,1,23.2,3.1,4.3,8.34,2.18,2.21,10,21.83,3.57,4.7,8.35,2.11,1.93,30,22.77,4.68,5.12,7.42,2.37,2.55,126,22.32,3.56,4.86,20.51,1.08,2.16,25.05,3.35,4.64,23.57,3.85,5.07,24.58,5.05,5.53,-1.67,-1.81,-2.3,-2.48,-2.5,-2.7,2.53,2.73,-0.2,-0.21,-0.2,-0.22,1.16,1.25,0.27,0.29,0.2,0.21,2.1,2.26,1.38,1.49,0.62,0.67,0.395,0.04,0.126,0.65,1.95
34,Amare Stoudemire,Kanye West,All Falls Down,2004-02-10,neutral,2.9,PF,2000s,in_season,2004-02-10,0.5248,0.354,0.0,16.0,1.03,8.03,6.18,1.07,3.24,30,23.0,0.0,6.0,,,,1,26.9,1.6,9.8,4.36,1.35,3.68,10,24.7,1.73,9.73,4.74,1.23,3.1,30,25.67,1.67,9.15,8.1,1.41,3.41,109,17.27,1.11,8.67,24.83,0.0,6.48,29.04,1.73,10.58,26.67,1.87,10.5,27.71,1.8,9.88,7.0,7.56,-1.03,-1.11,-2.03,-2.19,10.9,11.77,0.57,0.62,1.77,1.91,8.7,9.4,0.7,0.76,1.7,1.83,9.67,10.44,0.64,0.69,1.12,1.21,2.246,0.417,1.845,4.537,13.157
35,Chauncey Billups,Eminem,Lose Yourself,2002-10-28,neutral,3.0,PG,2000s,in_season,2002-10-28,0.3612,0.238,0.0,14.2,6.9,3.13,7.68,3.02,2.06,30,16.0,2.0,1.0,,,,1,9.1,2.8,2.7,7.42,1.62,3.02,10,12.83,3.37,3.1,8.35,2.34,2.2,30,16.56,4.82,3.61,7.72,2.6,1.95,152,15.33,7.45,3.38,17.27,2.16,1.08,9.82,3.02,2.91,13.85,3.64,3.35,17.88,5.2,3.9,1.8,1.94,-4.9,-5.29,-2.13,-2.3,-5.1,-5.51,-4.1,-4.43,-0.43,-0.47,-1.37,-1.48,-3.53,-3.81,-0.03,-0.03,2.36,2.55,-2.08,-2.25,0.48,0.52,-0.225,-3.243,-0.129,-1.744,-5.232
36,Gilbert Arenas,Lil Wayne,Lollipop,2008-04-28,compliment,2.5,SG,2000s,off_season,2009-03-28,0.0,0.0,0.0,23.93,5.83,3.67,9.33,3.2,1.86,30,15.0,10.0,3.0,,,,1,13.0,10.0,4.5,2.83,0.0,2.12,2,13.0,10.0,4.5,2.83,0.0,2.12,2,13.0,10.0,4.5,2.83,0.0,2.12,2,25.83,6.29,3.96,16.19,10.8,3.24,14.03,10.8,4.86,14.03,10.8,4.86,14.03,10.8,4.86,-8.93,-9.64,4.17,4.51,-0.67,-0.72,-10.93,-11.8,4.17,4.51,0.83,0.9,-10.93,-11.8,4.17,4.51,0.83,0.9,-10.93,-11.8,4.17,4.51,0.83,0.9,-2.57,3.42,0.858,-3.097,-7.742
37,Paul George,Drake,Energy,2015-02-13,compliment,2.8,SF,2010s,off_season,2015-04-05,0.1779,0.247,0.165,20.17,3.67,7.4,7.54,2.17,2.67,30,13.0,2.0,2.0,,,,1,12.0,2.6,5.4,4.97,2.76,3.27,10,22.73,3.47,6.97,11.19,2.11,2.85,30,23.57,3.69,6.62,8.81,2.05,2.84,366,20.17,3.67,7.4,13.0,2.0,2.0,12.0,2.6,5.4,22.73,3.47,6.97,23.57,3.69,6.62,-7.17,-7.17,-1.67,-1.67,-5.4,-5.4,-8.17,-8.17,-1.07,-1.07,-2.0,-2.0,2.56,2.56,-0.2,-0.2,-0.43,-0.43,3.4,3.4,0.02,0.02,-0.78,-0.78,0.43,-0.147,-0.813,0.835,2.338
38,Kawhi Leonard,Kendrick Lamar,HUMBLE.,2017-04-14,compliment,2.9,SF,2010s,off_season,2017-12-12,0.0,0.0,0.0,25.37,3.93,5.83,7.36,1.74,2.79,30,13.0,1.0,6.0,,,,1,17.0,2.3,5.4,6.15,1.16,3.17,10,23.33,2.77,7.2,8.08,1.22,3.11,30,25.25,3.19,6.97,7.88,1.64,2.94,69,25.37,3.93,5.83,13.0,1.0,6.0,17.0,2.3,5.4,23.33,2.77,7.2,25.25,3.19,6.97,-12.37,-12.37,-2.93,-2.93,0.17,0.17,-8.37,-8.37,-1.63,-1.63,-0.43,-0.43,-2.04,-2.04,-1.16,-1.16,1.37,1.37,-0.12,-0.12,-0.74,-0.74,1.14,1.14,-0.768,-1.004,0.776,-0.753,-2.184
39,Joel Embiid,Meek Mill,Dangerous,2018-11-30,compliment,2.1,C,2010s,in_season,2018-11-30,0.2846,0.235,0.0,25.6,3.4,12.77,9.08,2.14,4.49,30,16.0,0.0,15.0,,,,1,22.6,3.1,12.8,9.36,1.85,3.99,10,26.77,3.33,13.6,8.04,1.88,3.61,30,26.15,3.12,11.87,9.67,1.97,4.09,143,25.6,3.4,12.77,16.0,0.0,15.0,22.6,3.1,12.8,26.77,3.33,13.6,26.15,3.12,11.87,-9.6,-9.6,-3.4,-3.4,2.23,2.23,-3.0,-3.0,-0.3,-0.3,0.03,0.03,1.17,1.17,-0.07,-0.07,0.83,0.83,0.55,0.55,-0.28,-0.28,-0.9,-0.9,0.068,-0.031,0.3,0.696,1.462
40,Zion Williamson,Drake,Laugh Now Cry Later,2020-08-14,compliment,2.8,PF,2020s,off_season,2020-12-23,0.3612,0.2,0.0,22.5,2.08,6.25,6.33,1.5,2.45,24,15.0,3.0,10.0,,,,1,21.8,1.6,8.5,6.14,1.35,3.6,10,25.3,3.2,6.8,6.3,1.92,3.09,30,27.0,3.7,7.23,6.29,2.22,3.24,61,21.65,2.0,6.01,14.43,2.89,9.62,20.97,1.54,8.18,24.34,3.08,6.54,25.98,3.56,6.96,-7.5,-7.22,0.92,0.89,3.75,3.61,-0.7,-0.68,-0.48,-0.46,2.25,2.17,2.8,2.69,1.12,1.08,0.55,0.53,4.5,4.33,1.62,1.56,0.98,0.95,0.455,1.371,0.344,1.559,4.365
42,Damian Lillard,Common,HER Love,2014-07-22,compliment,2.4,PG,2010s,off_season,2014-10-29,-0.0258,0.0,0.121,20.67,5.27,3.27,6.89,2.33,1.89,30,10.0,5.0,2.0,,,,1,20.6,6.6,5.2,7.68,2.27,1.48,10,21.93,6.27,4.97,8.0,2.23,2.03,30,22.92,6.49,4.33,8.16,2.54,2.25,157,20.67,5.27,3.27,10.0,5.0,2.0,20.6,6.6,5.2,21.93,6.27,4.97,22.92,6.49,4.33,-10.67,-10.67,-0.27,-0.27,-1.27,-1.27,-0.07,-0.07,1.33,1.33,1.93,1.93,1.26,1.26,1.0,1.0,1.7,1.7,2.25,2.25,1.22,1.22,1.06,1.06,0.092,0.925,1.068,1.314,3.154
43,Klay Thompson,Drake,Trophies,2013-09-24,compliment,2.8,SG,2010s,in_season,2013-09-24,0.3612,0.217,0.0,16.9,2.03,3.47,7.93,1.61,2.15,30,38.0,1.0,3.0,,,,1,20.9,1.8,2.9,9.69,0.63,1.97,10,19.6,2.67,3.3,7.46,2.01,2.15,30,18.37,2.23,3.07,6.74,1.73,1.92,81,16.9,2.03,3.47,38.0,1.0,3.0,20.9,1.8,2.9,19.6,2.67,3.3,18.37,2.23,3.07,21.1,21.1,-1.03,-1.03,-0.47,-0.47,4.0,4.0,-0.23,-0.23,-0.57,-0.57,2.7,2.7,0.64,0.64,-0.17,-0.17,1.47,1.47,0.2,0.2,-0.4,-0.4,0.467,0.603,-0.583,1.221,3.419
44,Draymond Green,Kendrick Lamar,DNA.,2017-04-14,neutral,2.9,PF,2010s,off_season,2017-10-17,0.3182,0.278,0.192,9.9,6.37,7.13,5.6,3.05,2.57,30,9.0,13.0,11.0,,,,1,9.7,7.2,7.8,5.66,2.49,3.16,10,10.3,7.7,7.6,5.25,2.83,2.75,30,9.26,7.07,7.47,5.37,2.82,3.15,136,9.9,6.37,7.13,9.0,13.0,11.0,9.7,7.2,7.8,10.3,7.7,7.6,9.26,7.07,7.47,-0.9,-0.9,6.63,6.63,3.87,3.87,-0.2,-0.2,0.83,0.83,0.67,0.67,0.4,0.4,1.33,1.33,0.47,0.47,-0.64,-0.64,0.7,0.7,0.34,0.34,-0.132,1.219,-0.018,0.7,2.03
45,Anthony Davis,Drake,Forever,2013-09-24,compliment,2.8,PF,2010s,in_season,2013-09-24,-0.3818,0.0,0.342,14.2,1.17,8.7,5.8,0.91,3.93,30,20.0,0.0,12.0,,,,1,20.9,1.5,11.0,6.67,1.27,3.46,10,19.63,1.27,10.33,5.99,1.11,3.18,30,20.81,1.57,10.04,8.07,1.23,4.11,67,14.2,1.17,8.7,20.0,0.0,12.0,20.9,1.5,11.0,19.63,1.27,10.33,20.81,1.57,10.04,5.8,5.8,-1.17,-1.17,3.3,3.3,6.7,6.7,0.33,0.33,2.3,2.3,5.43,5.43,0.1,0.1,1.63,1.63,6.61,6.61,0.4,0.4,1.34,1.34,1.177,0.121,1.006,2.691,7.535
46,Karl-Anthony Towns,Migos,Bad and Boujee,2017-01-27,compliment,2.3,C,2010s,in_season,2017-01-27,0.3612,0.238,0.0,23.47,3.27,13.2,8.73,2.3,3.11,30,37.0,1.0,13.0,,,,1,28.5,2.5,10.8,5.56,2.17,2.86,10,28.27,2.1,12.4,6.15,1.54,3.88,30,23.81,2.76,12.45,7.89,1.76,4.28,195,23.47,3.27,13.2,37.0,1.0,13.0,28.5,2.5,10.8,28.27,2.1,12.4,23.81,2.76,12.45,13.53,13.53,-2.27,-2.27,-0.2,-0.2,5.03,5.03,-0.77,-0.77,-2.4,-2.4,4.8,4.8,-1.17,-1.17,-0.8,-0.8,0.34,0.34,-0.51,-0.51,-0.75,-0.75,1.013,-1.013,-1.139,1.329,3.057
47,Ben Simmons,Meek Mill,Going Bad,2018-11-30,diss,2.1,PG,2010s,in_season,2018-11-30,0.2584,0.203,0.0,15.5,8.23,8.9,5.43,2.92,3.83,30,13.0,10.0,8.0,,,,1,16.7,8.1,9.9,4.35,3.03,2.18,10,18.03,8.2,9.97,5.03,3.1,3.76,30,16.06,7.52,7.95,6.29,3.07,3.58,172,15.5,8.23,8.9,13.0,10.0,8.0,16.7,8.1,9.9,18.03,8.2,9.97,16.06,7.52,7.95,-2.5,-2.5,1.77,1.77,-0.9,-0.9,1.2,1.2,-0.13,-0.13,1.0,1.0,2.53,2.53,-0.03,-0.03,1.07,1.07,0.56,0.56,-0.71,-0.71,-0.95,-0.95,0.422,0.005,0.511,1.324,2.78
48,Lonzo Ball,Drake,God's Plan,2018-01-19,neutral,2.8,PG,2010s,in_season,2018-01-19,-0.25,0.0,0.2,10.23,6.97,7.07,5.54,2.88,3.27,30,9.0,6.0,7.0,,,,1,10.7,7.0,6.1,4.57,2.75,2.13,10,9.43,6.27,5.7,4.22,2.96,2.52,30,9.94,5.97,5.62,5.44,3.04,2.51,63,10.23,6.97,7.07,9.0,6.0,7.0,10.7,7.0,6.1,9.43,6.27,5.7,9.94,5.97,5.62,-1.23,-1.23,-0.97,-0.97,-0.07,-0.07,0.47,0.47,0.03,0.03,-0.97,-0.97,-0.8,-0.8,-0.7,-0.7,-1.37,-1.37,-0.29,-0.29,-1.0,-1.0,-1.45,-1.45,-0.445,-0.593,-1.643,-0.941,-2.635
50,Trae Young,Lil Baby,The Bigger Picture,2020-06-12,compliment,2.3,PG,2020s,off_season,2020-12-23,0.0,0.0,0.0,30.23,10.17,4.07,10.71,4.27,2.61,30,37.0,7.0,6.0,,,,1,24.8,8.5,3.9,9.8,3.03,1.52,10,27.17,9.53,4.03,9.61,3.67,1.81,30,26.97,9.58,3.81,9.19,3.03,1.98,139,29.08,9.78,3.92,35.6,6.73,5.77,23.86,8.18,3.75,26.14,9.17,3.88,25.95,9.22,3.67,6.77,6.52,-3.17,-3.05,1.93,1.85,-5.43,-5.22,-1.67,-1.6,-0.17,-0.17,-3.06,-2.94,-0.64,-0.61,-0.04,-0.04,-3.26,-3.13,-0.59,-0.56,-0.26,-0.25,-1.289,-0.956,-0.575,-1.371,-3.153
51,Devin Booker,Drake,TSU,2017-03-18,compliment,2.8,SG,2010s,in_season,2017-03-18,0.0,0.0,0.0,22.43,3.2,3.47,6.95,2.07,1.98,30,11.0,5.0,4.0,,,,1,30.2,5.3,3.8,15.79,2.71,1.87,10,25.07,4.57,4.07,12.16,2.53,2.38,30,26.4,4.83,4.54,9.36,2.4,2.19,252,22.43,3.2,3.47,11.0,5.0,4.0,30.2,5.3,3.8,25.07,4.57,4.07,26.4,4.83,4.54,-11.43,-11.43,1.8,1.8,0.53,0.53,7.77,7.77,2.1,2.1,0.33,0.33,2.64,2.64,1.37,1.37,0.6,0.6,3.97,3.97,1.63,1.63,1.07,1.07,0.451,1.255,0.097,1.647,4.612
52,Bradley Beal,J. Cole,Fire Squad,2014-12-09,neutral,2.6,SG,2010s,in_season,2014-12-09,-0.2924,0.0,0.195,16.23,3.23,3.27,5.88,2.05,1.72,30,9.0,3.0,3.0,,,,1,17.4,2.8,4.6,8.26,1.48,1.9,10,15.8,3.1,4.3,6.26,1.79,2.77,30,22.75,4.54,4.32,9.32,2.72,2.43,328,16.23,3.23,3.27,9.0,3.0,3.0,17.4,2.8,4.6,15.8,3.1,4.3,22.75,4.54,4.32,-7.23,-7.23,-0.23,-0.23,-0.27,-0.27,1.17,1.17,-0.43,-0.43,1.33,1.33,-0.43,-0.43,-0.13,-0.13,1.03,1.03,6.52,6.52,1.31,1.31,1.05,1.05,-0.348,-0.084,0.476,0.098,0.255
53,Kemba Walker,Drake,Know Yourself,2015-02-13,compliment,2.8,PG,2010s,in_season,2015-02-13,0.0,0.0,0.0,20.5,5.43,3.67,9.32,2.5,2.6,30,6.0,2.0,1.0,,,,1,14.0,4.8,3.3,7.38,2.97,2.26,10,14.5,5.03,3.2,6.63,2.43,2.2,30,19.55,5.14,4.15,9.02,2.32,2.3,101,20.5,5.43,3.67,6.0,2.0,1.0,14.0,4.8,3.3,14.5,5.03,3.2,19.55,5.14,4.15,-14.5,-14.5,-3.43,-3.43,-2.67,-2.67,-6.5,-6.5,-0.63,-0.63,-0.37,-0.37,-6.0,-6.0,-0.4,-0.4,-0.47,-0.47,-0.95,-0.95,-0.29,-0.29,0.48,0.48,-1.799,-0.325,-0.848,-2.661,-7.451
55,Bam Adebayo,Rick Ross,BIG TYME,2019-08-09,compliment,2.2,C,2010s,off_season,2019-10-23,0.128,0.2,0.0,10.4,2.73,8.37,4.58,1.91,3.93,30,14.0,3.0,11.0,,,,1,13.3,4.6,9.8,4.22,1.96,2.78,10,15.7,4.63,10.63,5.66,2.53,3.0,30,17.23,5.25,9.62,5.89,2.48,3.36,136,10.4,2.73,8.37,14.0,3.0,11.0,13.3,4.6,9.8,15.7,4.63,10.63,17.23,5.25,9.62,3.6,3.6,0.27,0.27,2.63,2.63,2.9,2.9,1.87,1.87,1.43,1.43,5.3,5.3,1.9,1.9,2.26,2.26,6.83,6.83,2.52,2.52,1.25,1.25,1.144,1.728,1.562,3.368,7.41
56,Victor Oladipo,Future,Mask Off,2017-04-14,compliment,2.4,SG,2010s,off_season,2017-10-18,0.0,0.0,0.0,15.6,2.67,4.53,5.3,1.71,2.49,30,22.0,4.0,5.0,,,,1,23.8,3.8,4.3,6.71,2.25,1.16,10,24.9,3.93,5.47,7.67,1.78,2.6,30,21.71,4.59,5.33,7.66,2.41,2.47,111,15.6,2.67,4.53,22.0,4.0,5.0,23.8,3.8,4.3,24.9,3.93,5.47,21.71,4.59,5.33,6.4,6.4,1.33,1.33,0.47,0.47,8.2,8.2,1.13,1.13,-0.23,-0.23,9.3,9.3,1.26,1.26,0.94,0.94,6.11,6.11,1.92,1.92,0.8,0.8,2.185,1.157,0.397,4.38,10.512
58,CJ McCollum,Chance the Rapper,Blessings,2016-05-13,compliment,2.0,SG,2010s,off_season,2016-10-25,0.0,0.0,0.0,20.87,4.3,2.53,5.93,2.1,1.59,30,25.0,3.0,2.0,,,,1,22.2,3.0,4.4,9.87,1.94,2.41,10,22.47,3.63,3.57,7.84,1.61,1.85,30,22.96,3.56,3.61,7.73,1.78,1.95,80,20.87,4.3,2.53,25.0,3.0,2.0,22.2,3.0,4.4,22.47,3.63,3.57,22.96,3.56,3.61,4.13,4.13,-1.3,-1.3,-0.53,-0.53,1.33,1.33,-1.3,-1.3,1.87,1.87,1.6,1.6,-0.67,-0.67,1.04,1.04,2.09,2.09,-0.74,-0.74,1.08,1.08,0.18,-0.566,0.485,0.751,1.502
60,Andre Drummond,Big Sean,One Man Can Change the World,2015-02-01,neutral,2.1,C,2010s,in_season,2015-02-01,0.3612,0.294,0.0,13.47,0.6,13.47,6.32,0.89,5.41,30,14.0,1.0,14.0,,,,1,16.0,0.9,13.6,3.2,0.74,3.5,10,15.8,0.8,14.37,5.27,0.85,5.37,30,16.1,0.84,14.64,5.53,0.96,4.71,115,13.47,0.6,13.47,14.0,1.0,14.0,16.0,0.9,13.6,15.8,0.8,14.37,16.1,0.84,14.64,0.53,0.53,0.4,0.4,0.53,0.53,2.53,2.53,0.3,0.3,0.13,0.13,2.33,2.33,0.2,0.2,0.9,0.9,2.63,2.63,0.24,0.24,1.17,1.17,0.37,0.21,0.361,1.262,2.65
61,Dennis Rodman,Notorious B.I.G.,Big Poppa,1994-09-13,compliment,3.0,PF,1990s,off_season,1994-12-12,-0.4767,0.0,0.369,6.03,2.5,16.8,3.69,1.91,4.39,30,6.0,3.0,5.0,,,,1,5.2,2.0,12.9,4.42,1.83,5.86,10,7.03,1.8,16.2,4.07,1.47,6.4,30,7.12,1.98,16.8,3.91,1.65,6.4,49,6.42,2.66,17.9,6.39,3.2,5.33,5.54,2.13,13.74,7.49,1.92,17.26,7.58,2.11,17.9,-0.03,-0.03,0.5,0.54,-11.8,-12.57,-0.83,-0.88,-0.5,-0.53,-3.9,-4.16,1.0,1.07,-0.7,-0.74,-0.6,-0.64,1.09,1.16,-0.52,-0.55,0.0,0.0,0.31,-0.518,-0.361,0.014,0.042
